#Document title: Votes
#Rows: 37, Columns: 33
#Legislative period: 2013-2014
#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 1, partij;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;indiener 2, partij;titel document volgens stemming
senate;2013-2014;9;2013-11-19;In stemming komt wetsvoorstel          33591.;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/In stemming komt wetsvoorstel          33591.;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6.1.11.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6?view=html#nl.proc.ob.d.h-ek-20132014-9-6.1.11.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-6.html;aye;aye;aye;aye;no;no;aye;no;no;aye;no;aye;;;;;;;
senate;2013-2014;9;2013-11-19;In stemming komt wetsvoorstel          33467.;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/In stemming komt wetsvoorstel          33467.;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6.1.11.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-6?view=html#nl.proc.ob.d.h-ek-20132014-9-6.1.11.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-6.html;aye;aye;aye;aye;no;no;aye;no;no;aye;no;aye;;;;;;;
senate;2013-2014;9;2013-11-19;33293;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33293;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5.1.11.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5?view=html#nl.proc.ob.d.h-ek-20132014-9-5.1.11.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-5.html;aye;aye;no;aye;no;aye;aye;no;aye;aye;no;aye;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Vreemdelingenwet 2000 in verband met het herschikken van de gronden voor asielverlening (33293),
senate;2013-2014;9;2013-11-19;33293, letter G;;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33293, letter G;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5.1.10.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-5?view=html#nl.proc.ob.d.h-ek-20132014-9-5.1.10.4.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-5.html;aye;aye;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;Strik;nl.m.02338;nl.p.gl;;;;motie-Strik c.s. ( 33293, letter G, was letter E)
senate;2013-2014;9;2013-11-19;33501;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33501;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-8.1.4.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-9-8?view=html#nl.proc.ob.d.h-ek-20132014-9-8.1.4.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-9-8.html;aye;no;aye;aye;aye;no;aye;aye;aye;aye;aye;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van de Postwet 2009 ter invoering van ex ante toezicht op een postvervoerbedrijf met aanmerkelijke marktmacht (33501)
senate;2013-2014;10;2013-11-26;33253;F;wetsvoorstel;accepted;ingetrokken;https://zoek.officielebekendmakingen.nl/dossier/33253;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7.1.5.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7?view=html#nl.proc.ob.d.h-ek-20132014-10-7.1.5.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-7.html;;;;;;;;;;;;;Ter Horst;nl.m.03152;nl.p.pvda;;;;de motie-Ter Horst c.s. inzake maatregelen tot reductie van de regeldruk in de gezondheidszorg ( 33253, letter F).
senate;2013-2014;10;2013-11-26;33498;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33498;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-5.1.5.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-5?view=html#nl.proc.ob.d.h-ek-20132014-10-5.1.5.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-5.html;aye;aye;aye;aye;no;no;aye;no;no;aye;no;aye;;;;;;;Aan de orde zijn de stemmingenover het wetsvoorstel Wijziging van het Wetboek van Strafrecht, het Wetboek van Strafvordering en enige andere wetten in verband met de invoering van een adolescentenstrafrecht (33498)
senate;2013-2014;10;2013-11-26;33253;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33253;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7.1.5.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7?view=html#nl.proc.ob.d.h-ek-20132014-10-7.1.5.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-7.html;aye;no;aye;no;no;no;aye;aye;aye;aye;aye;;;;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Wijziging van de Wet marktordening gezondheidszorg, de Wet cliëntenrechten zorg en enkele andere wetten in verband met het tijdig signaleren van risico's voor de continuïteit van zorg alsmede in verband met het aanscherpen van procedures met het oog op de kwaliteit en bereikbaarheid van zorg (33253),
senate;2013-2014;10;2013-11-26;33253;E;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/33253;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7.1.5.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-7?view=html#nl.proc.ob.d.h-ek-20132014-10-7.1.5.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-7.html;aye;aye;aye;aye;aye;aye;no;aye;aye;aye;aye;no;Flierman;nl.m.03173;nl.p.cda;;;;de motie-Flierman c.s. inzake spreiding van algemene ziekenhuizen over ons land ( 33253, letter E),
senate;2013-2014;10;2013-11-26;33533 33640-IX 33653;;wetsvoorstel;accepted;zonder stemming;https://zoek.officielebekendmakingen.nl/dossier/33533 33640-IX 33653;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-14.1.6.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-14?view=html#nl.proc.ob.d.h-ek-20132014-10-14.1.6.13.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-14.html;;;;;;;;;;;;;;;;;;;
senate;2013-2014;10;2013-11-26;33533 33640-IX 33653;;wetsvoorstel;accepted;zonder stemming;https://zoek.officielebekendmakingen.nl/dossier/33533 33640-IX 33653;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-14.1.6.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-14?view=html#nl.proc.ob.d.h-ek-20132014-10-14.1.6.10.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-14.html;;;;;;;;;;;;;;;;;;;
senate;2013-2014;10;2013-11-26;33750, letter M;was I;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750, letter M;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-9.1.7.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-9?view=html#nl.proc.ob.d.h-ek-20132014-10-9.1.7.9.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-9.html;aye;no;aye;aye;aye;aye;no;aye;no;no;aye;no;Koffeman;nl.m.03157;nl.p.pvdd;;;;motie-Koffeman c.s. ( 33750, letter M, was letter I)
senate;2013-2014;10;2013-11-26;33750;L;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-9.1.7.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-9?view=html#nl.proc.ob.d.h-ek-20132014-10-9.1.7.6.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-9.html;aye;aye;aye;no;no;no;aye;no;no;aye;aye;no;Terpstra;nl.m.02811;nl.p.cda;;;;de motie-Terpstra c.s. over een grenseffecttoets ( 33750, letter L),
senate;2013-2014;10;2013-11-26;33750;K;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/33750;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-9.1.7.3.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-10-9?view=html#nl.proc.ob.d.h-ek-20132014-10-9.1.7.3.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-10-9.html;no;aye;no;no;no;no;no;no;no;no;no;no;Terpstra;nl.m.02811;nl.p.cda;;;;de motie-Terpstra c.s. over het meer in overeenstemming brengen van de noodzakelijke bezuinigingen met de analyses uit de Miljoenennota 2014 ( 33750, letter K),
other;2013-2014;2;2013-12-03;10;;wetsvoorstel;accepted;zonder stemming;https://zoek.officielebekendmakingen.nl/dossier/10;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-vv-20132014-2-2.1.8.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-vv-20132014-2-2?view=html#nl.proc.ob.d.h-vv-20132014-2-2.1.8.6.1;https://zoek.officielebekendmakingen.nl/h-vv-20132014-2-2.html;;;;;;;;;;;;;;;;;;;het wetsvoorstel Benoeming van een regent voor het geval van erfopvolging door de Koning die niet de leeftijd van achttien jaar heeft bereikt (10(R2011))
senate;2013-2014;11;2013-12-03;33243;;unknown;not-available;transformer-problem;https://zoek.officielebekendmakingen.nl/dossier/33243;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-11-8.1.14.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-11-8?view=html#nl.proc.ob.d.h-ek-20132014-11-8.1.14.16.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-11-8.html;;;;;;;;;;;;;;;;;;;het wetsvoorstel Wijziging van de Wet cliëntenrechten zorg en andere wetten in verband met de taken en bevoegdheden op het gebied van de kwaliteit van de zorg (33243)
senate;2013-2014;11;2013-12-03;32203;E;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/32203;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-11-5.1.6.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-ek-20132014-11-5?view=html#nl.proc.ob.d.h-ek-20132014-11-5.1.6.8.1;https://zoek.officielebekendmakingen.nl/h-ek-20132014-11-5.html;no;aye;aye;aye;no;no;aye;no;no;aye;aye;aye;Schrijver;nl.m.03273;nl.p.pvda;;;;de motie-Schrijver c.s. over onderzoek naar een mogelijke aanpassing van artikel 137 van het Wetboek van Strafrecht ( 32203, letter E).
